,Image,Accuracy,F1,Jaccard,Recall,Precision
77,pexels-photo-108261_0,0.9977073669433594,0.9934100154606958,0.9869063180827887,0.9898175461597291,0.9970286569529427
78,pexels-photo-10988_0,0.9955329895019531,0.9921500539641892,0.9844223913159155,0.9935820835403268,0.9907221463571371
79,pexels-photo-112362_0,0.7826614379882812,0.8761682446119472,0.7796258117919183,0.9957858229749225,0.7822066128531512
80,pexels-photo-116079_0,0.9734649658203125,0.9369470630891951,0.8813738531327808,0.9958379899032718,0.8846325014549313
81,pexels-photo-119972_0,0.9745597839355469,0.9663441885815507,0.9348800421829686,0.970512209708974,0.9622118148378928
82,pexels-photo-122084_0,0.9753684997558594,0.9761756295544691,0.9534600442551229,0.9701441091269114,0.9822826167669118
83,pexels-photo-122101_0,0.9842338562011719,0.9653303805856842,0.9329841743416786,0.9634957048845426,0.9671720567471257
84,pexels-photo-123335_0,0.991241455078125,0.970218175214673,0.942158962085905,0.9808287437713087,0.9598347192280053
85,pexels-photo-12628_0,0.9951362609863281,0.9975421165557244,0.9950962858692266,0.9996522706725085,0.9954408522720715
86,pexels-photo-128121_0,0.9832992553710938,0.940152012248469,0.8870630723590868,0.9943612283847089,0.8915478351050039
87,pexels-photo-128202_0,0.9910545349121094,0.950415494893536,0.905515935372094,0.9547153780798641,0.946154169999579
88,pexels-photo-134993_0,0.9201545715332031,0.9377940376665409,0.8828740102403402,0.9454451755174439,0.930265741357657
89,pexels-photo-136409_0,0.9944610595703125,0.9939249403790636,0.9879232477480849,0.9966771554436753,0.991187883339592
90,pexels-photo-137079_0,0.9925956726074219,0.9436100055198862,0.8932401958088114,0.9639126305792972,0.9241449951630342
91,pexels-photo-138329_0,0.9607620239257812,0.9751258699658061,0.9514591513138024,0.9626252112716405,0.9879554675709049
92,pexels-photo-141376_0,0.8660240173339844,0.5237895079388755,0.35482033948122566,0.3585483571561166,0.9715306071123183
93,pexels-photo-157023_0,0.95477294921875,0.9310986098842345,0.8710799878213213,0.9007477371113735,0.9635661618773831
94,pexels-photo-167374_0,0.9818611145019531,0.9829641333204355,0.9664989854582346,0.9969766782706019,0.969340022611645
95,pexels-photo-167635_0,0.9942970275878906,0.9956400138819624,0.9913178816792785,0.9967417199981314,0.9945407405249512
96,pexels-photo-168890_0,0.9952278137207031,0.9745902138809336,0.9504397432850011,0.969059255968009,0.9801846706978264
97,pexels-photo-169523_0,0.988525390625,0.9599435374330839,0.9229725231108038,0.9284886267034185,0.9936044107512061
98,pexels-photo-173285_0,0.9916610717773438,0.9891969360019768,0.9786247897680604,0.9915784884872983,0.9868267960322625
99,pexels-photo-175353_0,0.9793853759765625,0.8866039952996474,0.7963060686015832,0.8240112333255324,0.959487691888455
100,pexels-photo-175708_0,0.9919891357421875,0.9676694275949133,0.937363915650073,0.9705982272460545,0.9647582501918649
101,pexels-photo-185930_0,0.9983596801757812,0.9922171945701357,0.9845545977011494,0.995930528304629,0.9885314483554529
102,pexels-photo-192454_0,0.9954261779785156,0.9878492455182059,0.9759902278825744,0.9872789515263233,0.9884201987426485
103,pexels-photo-192478_0,0.9990386962890625,0.9742594484167517,0.9498107946624178,0.9845169281585466,0.9642135058633239
104,pexels-photo-193355_0,0.9964218139648438,0.9973791561888795,0.9947720141122177,0.9988527360845282,0.9959099177519614
105,pexels-photo-194087_0,0.9928855895996094,0.9950036300703777,0.9900569393499957,0.9987039108548811,0.9913306677627891
106,pexels-photo-194446_0,0.9937286376953125,0.994186457699761,0.9884401192552175,0.9943130375735627,0.9940599100500664
107,pexels-photo-204495_0,0.9977302551269531,0.9704406577574645,0.9425786527697356,0.9774819855884708,0.9635000493242577
108,pexels-photo-206271_0,0.9910850524902344,0.978739276389407,0.95836376917458,0.974069245255686,0.9834543027954001
109,pexels-photo-206272_0,0.9729843139648438,0.9542536011885536,0.9125095742840906,0.9158245818506441,0.9960489232304435
110,pexels-photo-206273_0,0.9640579223632812,0.9786990649472789,0.9582866629773105,0.9935690875540499,0.9642675766458476
111,pexels-photo-206296_0,0.9928054809570312,0.9908077125533699,0.9817828820910083,0.9857629156927971,0.9959044101076807
112,pexels-photo-206300_0,0.9189033508300781,0.7224057558465978,0.5654422436172605,0.6486271015546229,0.8151225836869401
113,pexels-photo-206302_0,0.9924049377441406,0.9801509366245625,0.9610745078105144,0.9962709253779741,0.9645442951044835
114,pexels-photo-206305_0,0.9897689819335938,0.9609447809878844,0.9248255178406256,0.9824618866126728,0.9403499772001824
115,pexels-photo-206331_0,0.8272209167480469,0.5714988505312155,0.40006887690901627,0.43787874394734555,0.8224818233804427
116,pexels-photo-206336_0,0.9218940734863281,0.9401520532449426,0.8870631453534551,0.9057888570977989,0.977225358360323
117,pexels-photo-206342_0,0.9742851257324219,0.9505367507319329,0.9057361002349256,0.9772034639872061,0.9252867816174055
118,pexels-photo-206345_0,0.9920654296875,0.9009618131606514,0.8197729832770124,0.9811262055376957,0.8329078263931684
119,pexels-photo-206354_0,0.989227294921875,0.9606882343114873,0.9243503884275381,0.9924928811804297,0.9308586689686801
120,pexels-photo-206374_0,0.9918479919433594,0.9836276575368703,0.9677827863291674,0.9825511984571585,0.984706477888052
121,pexels-photo-206395_0,0.9605026245117188,0.926856836067195,0.8636842382431934,0.9483483917600289,0.9063177817995939
122,pexels-photo-206396_0,0.7367591857910156,0.8462188151135971,0.7334309366441201,0.9669228301223779,0.7523060829872888
123,pexels-photo-206487_0,0.9735145568847656,0.9771355369015903,0.955293269199812,0.9773511818493241,0.9769199870936305
124,pexels-photo-206514_0,0.9610099792480469,0.9512345237243254,0.9070040397423299,0.9962324112567956,0.9101259004300153
125,pexels-photo-206533_0,0.9888992309570312,0.9892403940012424,0.9787098615043568,0.9935458475067215,0.984972094187639
126,pexels-photo-206543_ridJMC97dj_0,0.9968757629394531,0.9447554806070827,0.895295320889798,0.9505904710194109,0.9389916867792975
127,pexels-photo-206557_0,0.99737548828125,0.9925909972000861,0.9852909736178219,0.9978996600480696,0.9873385178996079
128,pexels-photo-206560_0,0.9927291870117188,0.9934472444734761,0.9869798070880127,0.9999723156568803,0.9870067766969067
129,pexels-photo-206585_0,0.986724853515625,0.977034553757622,0.9551002503032023,0.9815168390347387,0.9725930208114357
130,pexels-photo-206592_0,0.9702720642089844,0.954298347984682,0.9125914128045224,0.9356370745170193,0.9737191684917245
131,pexels-photo-207188_0,0.9951972961425781,0.9522581623753367,0.9088671733622874,0.9792544064888473,0.9267104583364086
132,pexels-photo-207688_0,0.9502296447753906,0.963013360774942,0.9286651576288423,0.9938328311049999,0.9340478652031412
133,pexels-photo-207744_0,0.9690704345703125,0.9649514126638309,0.932276440420307,0.9804548529062975,0.94993063652689
134,pexels-photo-207789_0,0.9796791076660156,0.9752670848403526,0.951728075103757,0.9721751686984532,0.9783787308566532
135,pexels-photo-207884_0,0.9489974975585938,0.8691473535859693,0.7685770169456321,0.8581948202551217,0.8803830597192481
136,pexels-photo-208134_0,0.9829559326171875,0.9897184304268185,0.9796461305781811,0.9881812333425236,0.9912604174349141
137,pexels-photo-209230_0,0.9772911071777344,0.9762655641364022,0.953631654788332,0.9857728323094389,0.9669399295518805
138,pexels-photo-209840_0,0.9793777465820312,0.9624807406687673,0.9276750595349584,0.9812773304275222,0.9443907222532449
139,pexels-photo-210913_0,0.8128166198730469,0.8457109796782094,0.7326683047218484,0.7704320725964457,0.9372939593947547
140,pexels-photo-211046_0,0.9934959411621094,0.9781463489662775,0.957227434649541,0.9929478505256584,0.9637796468894446
141,pexels-photo-212951_0,0.9924545288085938,0.9894422204430211,0.9791050452125412,0.9875656611935687,0.9913259248959859
142,pexels-photo-213155_cNJhKCTRzx_0,0.9870262145996094,0.9882768200917585,0.9768253211134204,0.9842767295597484,0.9923095559478075
143,pexels-photo-213496_0,0.9710922241210938,0.8708852995297486,0.771299230421005,0.9655810790388394,0.7931045183714002
144,pexels-photo-214574_0,0.9956779479980469,0.9790483939567654,0.9589567107408078,0.9916835243875028,0.9667311835810539
145,pexels-photo-215305_0,0.9704933166503906,0.9688013003827739,0.9394904209464058,0.9935471061252854,0.9452582033986352
146,pexels-photo-215316_RI0FPinnir_0,0.993865966796875,0.9910219760586029,0.982203727477976,0.9965191223696916,0.9855851453701442
147,pexels-photo-217860_0,0.9627265930175781,0.9533396686834729,0.9108395915648468,0.9988092498273913,0.9118297250388234
148,pexels-photo-219004_0,0.9908561706542969,0.9929129178850515,0.9859255823238936,0.9950104886402693,0.9908241722577257
149,pexels-photo-219596_0,0.9929542541503906,0.9904425804515324,0.9810661199384931,0.9910220565392979,0.9898637816368958
150,pexels-photo-219621_0,0.9580230712890625,0.9648416532474503,0.9320715582058595,0.9412520104230304,0.9896440977911778
151,pexels-photo-220452_0,0.9892616271972656,0.9744571578937817,0.9501866893171241,0.9918356791902176,0.9576771478000321
152,pexels-photo-220453_0,0.9932708740234375,0.9936689779921616,0.987417615338526,0.99726966883028,0.9900941945543102
153,pexels-photo-221212_0,0.9940681457519531,0.9874018682502775,0.9751172131278704,0.995247350111875,0.9796791099964631
154,pexels-photo-225600_0,0.9967498779296875,0.9950213869995091,0.9900921015908457,0.9946958898988247,0.9953470971965676
155,pexels-photo-225896_0,0.9134254455566406,0.9463265812905743,0.8981213386303952,0.9091239565772553,0.9867038852667607
156,pexels-photo-226273_0,0.9956893920898438,0.9402179663527669,0.8871805111821086,0.9696639022261021,0.9125077017868145
157,pexels-photo-235127_0,0.9603691101074219,0.910651472801548,0.8359597044148298,0.863811388480992,0.9628625988906065
158,pexels-photo-235444_QuAkTRxqz5_0,0.9959983825683594,0.9964245177870867,0.992874512627532,0.9958373075350865,0.9970124209621641
159,pexels-photo-235469_0,0.9608383178710938,0.9228816105769231,0.8568061038037187,0.8666459741249171,0.9869218039555919
160,pexels-photo-235474_0,0.9910392761230469,0.9846320926915755,0.969729381443299,0.9885968023752283,0.9806990564562373
161,pexels-photo-235514_0,0.9954605102539062,0.9915214386479901,0.9831854405697168,0.9901669204388599,0.9928796678129593
162,pexels-photo-235574_0,0.9902610778808594,0.9813034148913576,0.9632931230320196,0.9892946266408753,0.9734402696655333
163,pexels-photo-235837_0,0.9987068176269531,0.9816707218167072,0.9640012742911755,0.9765490533562823,0.9868463963474291
164,pexels-photo-235922_0,0.9961967468261719,0.9832518604377699,0.9670554802894624,0.981356045872175,0.9851550139697715
165,pexels-photo-236220_0,0.9564743041992188,0.9687918820601188,0.9394727070181953,0.9584578083733818,0.9793512281982371
166,pexels-photo-237593_0,0.9804725646972656,0.9427193483053028,0.8916453231166522,0.9058340322129755,0.9827360955580441
167,pexels-photo-237738_0,0.9850120544433594,0.9168729503861209,0.8465054498574052,0.9823638754137008,0.8595683909869882
168,pexels-photo-239604_0,0.9870491027832031,0.9934099039728865,0.9869060980172091,0.9922484828508832,0.9945740471544842
169,pexels-photo-240177_0,0.9959716796875,0.9719670825590656,0.9454629964365026,0.9916043765572528,0.9530924614743856
170,pexels-photo-240513_0,0.9980850219726562,0.9625149342891278,0.9277385921980711,0.9596486003573556,0.9653984421809467
171,pexels-photo-245241_nqhmPJpFTU_0,0.9932174682617188,0.976541059742453,0.9541575351295604,0.9692771084337349,0.983914708071892
172,pexels-photo-247202_0,0.9827346801757812,0.969173557096348,0.9401908185109813,0.9582738464024998,0.9803240740740741
173,pexels-photo-247204_0,0.9787368774414062,0.9888432084482572,0.9779326180767252,0.9995023043712243,0.9784090594018228
174,pexels-photo-247885_0,0.9923973083496094,0.9949078793732068,0.9898673553950105,0.9985127289884506,0.9913289647201389
175,pexels-photo-247917_0,0.993988037109375,0.9954034520774879,0.990848967315252,0.9965893627831734,0.9942203604117993
176,pexels-photo-248023_0,0.99273681640625,0.9655272305909618,0.9333520022402688,0.9847472024227204,0.9470431539690997
177,pexels-photo-249100_0,0.994720458984375,0.9855193772495187,0.9714521452145215,0.9931464962780203,0.9780085141729831
178,pexels-photo-249613_0,0.98760986328125,0.9883838203211617,0.9770344130270312,0.9960857530059687,0.9808000794968982
179,pexels-photo-249757_0,0.9972076416015625,0.9982749194019721,0.9965557803604197,0.9985714353067642,0.9979785795398324
180,pexels-photo-255311_0,0.5317726135253906,0.6728955524582868,0.5070403868397378,0.5070668610605714,0.9998970394893159
181,pexels-photo-257283_0,0.9737548828125,0.9787443076143575,0.9583734170705293,0.9905199637307319,0.9672453484608855
182,pexels-photo-257357_0,0.995758056640625,0.9951347993104716,0.990316709771241,0.993865084289547,0.9964077627371095
183,pexels-photo-258641_0,0.9868927001953125,0.9891186623175097,0.9784715826143618,0.9979869889188533,0.9804065591883884
184,pexels-photo-259806_0,0.984710693359375,0.9750280373831776,0.9512728864249763,0.966226645756412,0.9839912473748412
185,pexels-photo-260175_0,0.9916915893554688,0.993891596879049,0.9878573658623612,0.9988500174752246,0.9889821615949633
186,pexels-photo-26138_0,0.9956474304199219,0.9934798882266553,0.9870442493953605,0.988346048457699,0.9986673406553007
187,pexels-photo-262172_0,0.9918174743652344,0.9928348337313981,0.9857716161984678,0.9979384489346415,0.9877831543124534
188,pexels-photo-262214_0,0.9899749755859375,0.9920725895001025,0.9842698781334547,0.9850127589222605,0.9992343497441756
189,pexels-photo-264165_0,0.9806327819824219,0.9865588622289997,0.9734742605760741,0.9770066122376211,0.996299742265285
190,pexels-photo-264216_0,0.9774818420410156,0.9881198918855824,0.9765187436354379,0.9817282390485408,0.9945953172921487
191,pexels-photo-265720_hIUI3020WU_0,0.9909934997558594,0.9854439861653134,0.9713056477194006,0.9796758930103704,0.9912804038549794
192,pexels-photo-265819_0,0.9548721313476562,0.948968587426343,0.9028926976622013,0.9794569950401154,0.9203209585247287
193,pexels-photo-267447_0,0.8592681884765625,0.9243079549278205,0.8592681884765625,0.8592681884765625,1.0
194,pexels-photo-267751_nvo8tdciLn_0,0.9966659545898438,0.9946575057764954,0.9893717926891553,0.9956678170203392,0.9936492427943332
195,pexels-photo-267778_0,0.9938621520996094,0.9922028329545399,0.9845263168017849,0.987899023429961,0.9965443058922018
196,pexels-photo-268004_0,0.9948272705078125,0.9856714146836298,0.9717476456371364,0.984111577659148,0.9872362043053997
197,pexels-photo-268791_0,0.9944496154785156,0.9840762588510829,0.9686516999181282,0.9883705592683785,0.979819112999891
198,pexels-photo-269393_0,0.9954490661621094,0.9929790902831315,0.9860560795726825,0.9919224935626859,0.9940379403794037
199,pexels-photo-270789_0,0.9920616149902344,0.9909304464172867,0.9820239277847364,0.9927346397010025,0.9891327991090462
200,pexels-photo-270856_0,0.9818572998046875,0.9879281986720003,0.9761443776772368,0.9907951409748598,0.9850777999372337
201,pexels-photo-270968_0,0.9711494445800781,0.9601012898631004,0.9232642376647491,0.9378710422163589,0.9834109649739007
202,pexels-photo-271821_0,0.9841194152832031,0.9919961547704879,0.9841194152832031,0.9841194152832031,1.0
203,pexels-photo-274078_0,0.9676322937011719,0.9517478262353067,0.9079378512683636,0.9957400730613167,0.9114783025444406
204,pexels-photo-274643_0,0.9923782348632812,0.9950038258990862,0.9900573271228951,0.9937613322477685,0.9962494304041501
205,pexels-photo-275583_0,0.9893836975097656,0.9848164939904306,0.9700871696206885,0.9911378087216262,0.9785753008782392
